No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
487,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,新店溪,299313,2768881,4
488,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299440,2768681,1
489,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299543,2768270,1
490,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299567,2767903,4
491,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,新店溪,299567,2767903,2
492,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299571,2767887,2
493,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299600,2767609,2
494,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,新店溪,299600,2767609,3
495,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299756,2767348,4
496,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,新店溪,299756,2767348,4
497,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299996,2767185,3
498,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,300537,2767537,4
499,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,300719,2767700,2
500,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,300810,2767870,3
501,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,302071,2768287,4
502,蛺蝶科,Danaus chrysippus,樺斑蝶,,2015,0,0,新店溪,302071,2768287,1
503,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,關渡水岸公園,296619,2779042,1
504,蛺蝶科,Ideopsis similis,琉球青斑蝶,,0,0,0,關渡水岸公園,296619,2779042,1
505,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,關渡水岸公園,296567,2779303,1
506,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,關渡水岸公園,296562,2779374,2
507,蛺蝶科,Hypolimnas misippus,雌紅紫蛺蝶,,0,0,0,淡水河,300220,2776133,1
508,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300378,2775979,2
509,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300512,2775874,3
510,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300642,2775746,3
511,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300841,2775524,3
512,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300925,2775416,3
513,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301124,2775031,2
514,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301196,2774681,5
515,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301223,2774412,3
516,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301279,2774193,3
517,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301332,2773952,5
518,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301284,2772529,5
519,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301270,2772252,5
520,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301057,2771792,5
521,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301009,2771645,5
522,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300951,2771554,7
523,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300944,2771449,6
524,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300869,2771266,4
525,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300792,2771114,6
526,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300392,2770602,3
527,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300287,2770470,3
528,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,300119,2770276,10
529,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,299924,2770170,10
530,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,299821,2770125,10
531,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,299668,2770112,10
532,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,299493,2769988,10
533,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,299281,2769921,5
534,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,299202,2769330,4
535,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,299209,2769134,12
536,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,299527,2768071,6
537,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,299532,2767794,4
538,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,299602,2767628,10
539,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,299769,2767378,10
540,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,300149,2767220,2
541,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,300453,2767468,2
542,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,300816,2767876,2
543,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,301230,2768269,2
544,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,301320,2768333,5
545,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,301505,2768378,5
546,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,301831,2768364,5
547,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302091,2768283,2
548,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302238,2768232,5
549,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302480,2768171,5
550,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302558,2768072,6
551,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302672,2767984,5
552,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302825,2767899,10
553,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302976,2767588,10
554,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,303112,2767375,15
555,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,0,0,0,新店溪,303385,2767063,1
556,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,303385,2767063,2
557,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,303479,2767042,3
558,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,303866,2766690,3
559,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,303958,2766468,4
560,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,304043,2766180,4
561,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,304024,2765928,3
562,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,304031,2765666,4
563,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301193,2774644,1
564,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301356,2773600,1
565,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,301356,2773600,1
566,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301291,2772737,1
567,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,淡水河,301271,2772399,3
568,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,301271,2772399,16
569,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,301059,2771808,3
570,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,300944,2771441,2
571,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,300807,2771115,1
572,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,300771,2771051,3
573,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,300413,2770634,13
574,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,299953,2770177,15
575,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,299802,2770115,15
576,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,299669,2770116,17
577,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,299489,2769977,4
578,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,淡水河,299261,2769915,3
579,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,299085,2769510,4
580,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,299314,2768882,1
581,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,299511,2768491,3
582,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,299538,2768170,8
583,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,299530,2768058,8
584,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,299621,2767556,14
585,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,299823,2767250,8
586,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,300250,2767289,4
587,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,300523,2767527,10
588,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,300638,2767631,8
589,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,300775,2767751,12
590,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,300775,2767751,4
591,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,301059,2768076,3
592,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,301219,2768256,4
593,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,301288,2768312,3
594,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,301376,2768363,4
595,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,301735,2768391,3
596,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,302432,2768184,4
597,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,302596,2768047,5
598,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,302667,2767981,1
599,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,302667,2767981,4
600,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,303113,2767301,2
601,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,303113,2767301,11
602,粉蝶科,Pieris canidia,臺灣紋白蝶,,0,0,0,新店溪,303330,2767100,8
603,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,303330,2767100,6
604,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,303602,2766997,4
605,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,303926,2766500,2
606,粉蝶科,Pieris rapae crucivora,紋白蝶,,0,0,0,新店溪,304039,2766194,2
