No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
278,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,淡水河,301280,2772615,2
279,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,淡水河,301303,2772867,1
280,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,淡水河,301313,2772962,4
281,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,淡水河,301323,2774098,4
282,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,10,16,淡水河,300626,2775753,4
283,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,10,16,淡水河,300813,2771131,3
284,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,10,16,新店溪,299535,2767764,3
285,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,10,16,新店溪,301584,2768384,1
286,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,10,16,新店溪,302972,2767580,11
287,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,10,23,關渡水岸公園,296573,2779389,1
288,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,8,25,新店溪,303747,2766910,2
289,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,10,16,淡水河,300512,2775865,2
290,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,10,16,淡水河,300626,2775753,2
291,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,10,16,淡水河,301004,2775269,1
292,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,10,16,淡水河,300813,2771131,26
301,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,9,28,淡水河,300727,2775659,1
416,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,11,23,新店溪,303935,2766493,1
431,鳳蝶科,Graphium sarpedon connectens,青帶鳳蝶,特有亞種,2014,12,24,新店溪,301522,2768379,1
95,鳳蝶科,Graphium doson postianus,青斑鳳蝶,特有亞種,2014,5,26,新店溪,299288,2768327,1
67,蛺蝶科,Hestina assimilis formosana,紅星斑蛺蝶,特有亞種,2014,7,30,關渡水岸公園,296602,2779540,1
338,灰蝶科,Nacaduba kurava therasia,埔里波紋小灰蝶,特有亞種,2014,11,23,淡水河,301004,2775278,1
347,灰蝶科,Nacaduba kurava therasia,埔里波紋小灰蝶,特有亞種,2014,11,23,淡水河,301035,2771659,1
381,灰蝶科,Nacaduba kurava therasia,埔里波紋小灰蝶,特有亞種,2014,11,23,新店溪,300400,2767422,2
360,蛺蝶科,Parantica aglea maghaba,姬小紋青斑蝶,特有亞種,2014,11,23,新店溪,299114,2769758,1
302,蛺蝶科,Phalanta phalantha,紅擬豹斑蝶,,2014,8,25,新店溪,303427,2767030,2
303,蛺蝶科,Ideopsis similis,琉球青斑蝶,,2014,9,28,新店溪,300467,2767573,1
304,蛺蝶科,Ideopsis similis,琉球青斑蝶,,2014,9,28,新店溪,300290,2767339,1
